userId,classId,rating
1,46,4
1,44,3
1,31,5
1,34,2
1,35,3
2,46,4
2,31,1
2,26,5
2,22,3
2,5,3
3,46,3
3,44,2
3,34,2
4,81,4
4,28,4
4,85,5
5,81,2
5,86,1
5,85,4
5,72,3
6,71,2
6,73,5
6,58,3
6,50,2
6,54,3
7,54,4
7,50,2
7,58,1
7,49,5
8,50,5
8,53,5
9,50,3
9,52,2
10,52,3
10,55,4
10,69,5
11,45,4
11,65,4
11,83,4
12,44,4
12,65,5
12,45,2
13,8,5
13,9,3
14,8,3
14,22,3
14,9,3
15,22,3
15,8,4
15,40,4
16,36,2
16,9,4
16,40,5
17,36,3
17,8,4
18,40,5
18,9,2
19,8,4
19,9,5
19,40,3
20,8,2
20,9,3
20,40,4
21,8,5
21,9,3
21,40,4
22,8,3
22,9,2
22,36,4
23,8,5
23,9,5
23,36,5
24,8,4
24,9,3
25,9,3
25,8,3
26,8,2
26,36,2
27,26,4
27,27,4
28,29,5
28,26,1
28,27,5
29,26,2
29,29,3
30,29,4
30,69,2
30,68,5
30,66,3
30,30,2
31,29,4
31,69,5
31,70,3
31,68,2
32,29,3
32,68,4
32,66,3
32,30,2
33,29,4
33,68,5
34,29,3
34,69,2
34,70,4
35,52,5
35,54,3
36,54,2
36,52,4
37,54,2
38,49,4
39,52,2
40,52,4
40,49,5
41,44,3
41,46,2
42,44,4
42,47,2
42,83,4
43,44,2
43,47,1
44,47,4
45,44,4
45,46,5
46,47,5
46,83,3
47,46,2
48,44,4
48,47,5
49,46,3
49,44,4
49,47,2
50,44,5
50,47,3
50,46,2
51,87,5
51,81,3
52,87,2
52,81,5
52,86,2
53,81,4
53,86,5
54,81,3
54,88,3
55,87,3
55,81,4
55,88,2
56,87,5
56,88,3
56,81,3
57,81,4
57,86,5
58,87,3
59,81,2
60,87,3
60,81,3
61,78,4
61,79,5
62,78,3
62,79,3
62,37,2
63,78,2
63,79,2
64,38,2
64,79,2
65,78,3
66,37,3
66,78,3
66,38,4
66,1,4
67,78,5
67,1,3
68,78,3
68,79,3
69,38,3
70,79,3
70,38,3
70,1,3
71,55,3
71,58,3
72,59,3
72,55,3
72,58,3
73,13,3
73,35,3
74,13,3
74,14,3
75,35,3
75,76,4
76,13,4
76,76,4
77,13,4
77,14,5
77,35,5
78,35,5
78,76,5
79,13,4
79,14,5
80,13,3
80,14,2
80,35,4
80,76,3
81,74,3
81,84,3
82,89,2
82,74,4
83,84,3
83,62,4
84,89,2
84,63,4
84,74,3
85,84,4
85,74,2
85,62,3
86,64,3
86,83,3
87,65,2
87,83,4
87,68,5
88,16,4
88,32,3
89,16,3
89,31,4
89,83,5
90,90,3
90,93,3
90,92,3
91,90,4
91,93,5
92,90,3
92,94,3
93,43,3
94,93,4
94,92,4
95,93,2
96,43,3
97,93,2
98,94,3
99,93,1
100,93,4
100,94,5
101,95,3
101,73,4
102,3,5
102,57,2
103,95,3
103,73,3
104,95,4
104,73,3
104,3,2
105,6,5
105,8,3
105,10,2
106,6,4
106,8,4
106,95,3
107,10,2
108,95,3
108,88,4
109,6,5
109,8,3
109,95,3
110,100,4
110,99,3
111,100,5
111,14,2
111,97,2
112,100,3
112,14,3
113,99,4
114,99,4
114,13,4
114,98,5
115,100,4
115,72,2
116,100,1
116,99,1
116,76,3
117,100,3
117,76,4
118,10,4
118,11,5
119,10,5
119,11,3
119,16,4
120,10,4
120,81,5
120,71,3
121,11,4
121,10,4
122,16,5
122,27,3
122,21,4
122,73,3
122,72,4
122,80,5
122,81,3
123,103,4
123,102,3
124,103,2
124,69,4
124,70,4
125,103,5
125,102,5
125,69,5
125,70,5
126,102,3
126,70,3
127,91,3
127,88,4
127,93,4
127,81,5
128,23,4
128,41,3
128,36,3
128,40,5
129,26,5
129,104,5
129,86,5
129,99,5
129,72,5
130,80,5
130,81,3
130,68,3
131,55,3
132,55,2
132,58,2
133,58,2
133,55,3
133,101,3
134,101,4
134,58,4
134,21,5
135,20,2
135,21,5
136,20,2
136,30,2
136,21,3
137,20,4
138,21,4
138,30,4
138,32,5
139,31,3
139,32,4
139,21,2
139,34,3
140,34,4
141,59,4
141,105,3
142,59,2
142,105,3
142,88,3
143,1,4
143,4,5
143,24,3
144,25,3
144,39,4
145,37,5
145,39,4
145,36,3
146,45,3
146,44,4
147,45,3
147,44,4
147,83,4
148,24,4
148,23,3
149,50,5
149,51,3
149,62,3
149,21,2
150,6,4
150,7,5
150,17,3
151,110,2
151,109,3
151,78,3
151,1,4
152,106,5
152,58,3
152,74,3
153,107,4
153,102,3
153,90,4
153,96,3
154,108,4
154,85,4
155,60,3
155,61,2
155,22,4
155,7,4
156,10,4
156,21,3
157,111,3
157,113,4
158,114,3
159,111,4
159,113,3
160,112,4
160,106,2
160,74,3
161,27,4
162,77,3
163,6,3
164,4,4
165,80,5
166,81,5
166,87,4
166,108,5
166,54,3
166,52,4
166,7,3
